Category,Entity_Event,Description,Date,Location,Actors,Technology,Evidence_Type,Significance,Status,Connection_to_Research
C-17_Investigation,Local Airport Survey,No local airports can accommodate C-17 operations,October 2025,Schuylkill County Pennsylvania,Airport research,Airport facility database,Infrastructure Analysis,Rules Out Local Operations,Completed,Reading Regional and smaller airports insufficient
C-17_Investigation,Fort Indiantown Gap Connection,Aircraft heading toward Fort Indiantown Gap military base,October 2 2025,Pennsylvania,Fort Indiantown Gap,Flight path analysis,Directional Analysis,Probable Destination,Assessed,Major National Guard training facility with adequate runway
C-17_Investigation,WFX 26-01 Exercise,Warrior Exercise 26-01 scheduled October 25 - November 3 2025,October-November 2025,Fort Indiantown Gap Pennsylvania,Pennsylvania National Guard,Major training exercise,Military Announcement,Legitimate Explanation,Confirmed,Major exercise explains C-17 presence in region
C-17_Investigation,Pre-Exercise Logistics,C-17 sighting occurs 23 days before exercise start,October 2 2025,Pennsylvania,U.S. Air Force,Pre-exercise transport,Temporal Analysis,Advance Logistics,Assessed,Consistent with pre-exercise equipment/personnel transport
C-17_Investigation,Low Altitude Question,Extreme low altitude over populated area remains unexplained,October 2 2025,Minersville Pennsylvania,Unknown,Operational necessity unknown,Unanswered Question,Safety Consideration,Open Question,Standard C-17 operations typically higher altitude
C-17_Investigation,Alternative Explanations Considered,Investigated emergency/technical/tactical scenarios,October 2025,Analysis,Investigation process,Scenario analysis,Analytical Method,Comprehensive Assessment,Completed,No evidence of emergency; tactical training possible
C-17_Investigation,Legitimate Military Operations,Investigation concluded sighting consistent with legitimate military exercise,October 2025,Pennsylvania,Research conclusion,Evidence synthesis,Final Assessment,Credible Explanation,Concluded,WFX 26-01 provides legitimate context for presence
C-17_Investigation,Intellectual Integrity Example,Investigation sought disconfirming evidence and accepted most likely explanation,October 2025,Research Methodology,Truth-Seeking approach,Active disconfirmation method,Methodological Model,Best Practice,Exemplary,Demonstrates truth-seeking over confirmation bias
FlightRadar24_Privacy,Privacy Implications,Platform raises questions about aerial privacy and surveillance,Ongoing,Global,Privacy advocates vs security interests,Flight tracking technology,Ongoing Debate,Privacy vs Transparency,Active,Tension between transparency and security
FlightRadar24_Regulation,Regulatory Gap,Limited regulation of flight tracking platforms and data use,Ongoing,Global,Governments and aviation authorities,Policy framework,Regulatory Issue,Oversight Gap,Current,Minimal restrictions on civilian flight tracking
FlightRadar24_OSINT,Open Source Intelligence,Platform becomes critical OSINT tool for journalists and investigators,2015-Present,Global,Journalists and investigators,Flight pattern analysis,Analytical Tool,Investigative Capability,Active,Enables investigation of flight-based activities
FlightRadar24_Research,Weather Research Potential,Flight tracking data could enhance atmospheric research,Potential,Global,Atmospheric scientists,Flight path + atmospheric data,Research Application,Scientific Value,Potential,Commercial aircraft as distributed atmospheric sensors
Military_Exercises,WFX Exercise Series,Warrior Exercise series regular National Guard training,Ongoing,Fort Indiantown Gap Pennsylvania,Pennsylvania National Guard,Battalion-level training,Military Program,Regular Training,Active,Explains periodic military aircraft activity in region
Military_Exercises,C-17 Training Operations,C-17 aircraft conduct low-level tactical training,Ongoing,Various US locations,U.S. Air Force,Tactical flight training,Military Training,Operational Capability,Standard,Low-level flight training is standard for C-17 crews
Military_Logistics,Pre-Exercise Transport,Equipment and personnel transport precedes major exercises,Standard Procedure,Military bases nationwide,U.S. military branches,Heavy transport aircraft,Logistics Protocol,Standard Practice,Ongoing,C-17 ideal for outsized cargo and personnel transport
Military_Transparency,Flight Tracking Limitations,Military can disable transponders or operate without ADS-B,Ongoing,Global,Military forces worldwide,Transponder control,Operational Security,Limited Transparency,Standard,Not all military flights visible on tracking platforms
Aircraft_Technology,C-17 Capabilities,Globemaster III specifications and operational capabilities,Operational,Global,"U.S. Air Force, allied nations",Strategic transport aircraft,Aircraft Database,Technical Reference,Active,"Can operate from short runways; 170,900 lb payload capacity"
Aircraft_Technology,C-17 Fleet Size,U.S. operates approximately 220 C-17 aircraft,Current,United States,U.S. Air Force,C-17 fleet,Military Asset,Force Structure,Active,Primary strategic transport for U.S. military
Pennsylvania_Geography,Schuylkill County,Geographic context of sighting location,Fixed,Pennsylvania,N/A,Geographic data,Geographic Context,Location Background,Fixed,Rural/small town area; mining history
Pennsylvania_Military,Fort Indiantown Gap,Major Pennsylvania National Guard training facility,Established 1931,Pennsylvania,Pennsylvania National Guard,"Training ranges, airfield",Military Installation,Major Training Center,Active,"17,000 acres; supports joint and multinational training"
Investigation_Methodology,Active Disconfirmation,Seeking evidence that contradicts initial hypothesis,Methodology,Research process,Truth-Seeking approach,Systematic skepticism,Analytical Method,Best Practice,Standard,Core principle of Truth-Seeking Methodology
Investigation_Methodology,Primary Source Prioritization,Emphasis on firsthand evidence over secondary reports,Methodology,Research process,Truth-Seeking approach,Evidence hierarchy,Analytical Method,Quality Control,Standard,Photos/metadata prioritized over speculation
Investigation_Methodology,Intellectual Honesty,Accepting most credible explanation even if less dramatic,Methodology,Research process,Truth-Seeking approach,Honest assessment,Ethical Standard,Integrity,Standard,"WFX 26-01 explanation accepted over more sensational theories"
