Category,Evidence_Item,Source_Type,Quality_Rating,Supports_Capability,Supports_Deployment,Contradicts_Official,Connected_Entities,Investigation_Thread,Notes
Legislation,MTG Weather Mod Ban Bill (2025),Primary - Congressional,MEDIUM,ACKNOWLEDGES EXISTENCE,PROPOSES TOTAL BAN,YES,Rep. Marjorie Taylor Greene,Legislative response,"Make all weather modification a felony" - extreme position
Legislation,Florida Geoengineering Ban (April 2025),Primary - State Law,MEDIUM,ACKNOWLEDGES PRACTICE,BANS CLOUD SEEDING,YES,Florida Legislature,State bans,Total prohibition of cloud seeding in Florida
Legislation,Montana Geoengineering Ban (March 2025),Primary - State Law,MEDIUM,ACKNOWLEDGES PRACTICE,SELECTIVE BAN,PARTIAL,Montana Legislature,State bans,Bans geoengineering but exempts water management cloud seeding
Commercial,Weather Modification Inc (1960s-present),Primary - Corporate,HIGH,CLOUD SEEDING,YES - Active business,PARTIAL,Private company,Commercial industry,Active commercial weather modification company - still operating
Commercial,Rainmaker Drone Seeding (2023-present),Primary - Corporate,HIGH,CLOUD SEEDING,YES - Active,PARTIAL,Augustus Doricko / Thiel Fellowship,Modern commercial,Drone-based cloud seeding - $31M funding - govt contracts
Funding,Bill Gates FICER Fund (2007-present),Primary - Financial,MEDIUM,RESEARCH SUPPORT,GEOENGINEERING RESEARCH,CONCERNS,David Keith Harvard / Gates,Billionaire geoengineering,Gates funding Harvard solar geoengineering research since 2007
Funding,Peter Thiel Rainmaker Support,Primary - Financial,MEDIUM,COMMERCIAL SEEDING,ACTIVE STARTUP,CONNECTIONS,Thiel Fellowship / 1517 Fund,Thiel network,Thiel Fellowship ($100K) + 1517 Fund investment in Rainmaker
Funding,DOD Laser Research (Multiple),Primary - Government,HIGH,RESEARCH CONFIRMED,UNKNOWN DEPLOYMENT,PARTIAL,UFC / U. Arizona / Stanford,Military R&D,Department of Defense funded multiple laser weather research projects
Public,Meteorologist Death Threats (2024),Secondary - News,MEDIUM,PUBLIC BELIEVES CAPABILITY,SOCIAL DYNAMIC,YES,Meteorologists nationwide,Public perception,"Unprecedented" threats to meteorologists blamed for "steering hurricanes"
Public,Alex Jones Weather Weapons Claims,Tertiary - Conspiracy,LOW,SPECULATION,NO EVIDENCE,YES,Right-wing media,Conspiracy narrative,Called Helene and Milton "weather weapons" created by government
Radar,NEXRAD Blue Blooms Helene,Primary - NOAA/BirdCast,HIGH,MONITORING SYSTEM ONLY,BIRD MIGRATION CONFIRMED,NO,NOAA / BirdCast,Radar anomalies,Blue blooms confirmed as 500 million bird migration not weather manipulation
Scientific,Short-Pulse Laser Weather Control (2017),Primary - Peer reviewed,HIGH,YES,RESEARCH STAGE,PARTIAL,International research,Laser capabilities,"Review of lightning, condensation, fog, albedo control capabilities"
Scientific,Laser Lightning Rod Switzerland (2023),Primary - Nature Photonics,HIGH,YES,DEMONSTRATED,NO,International team,Laser lightning,"Real achievement" - first proof laser can guide lightning in real storms
Theory,Electron Cyclotron Resonance,Primary - Physics,HIGH,MECHANISM CONFIRMED,APPLIES TO HAARP,NO,Plasma physics,Physics basis,Established physics principle used in fusion reactors and ionospheric heating
Theory,Kerr Self-Focusing Filamentation,Primary - Physics,HIGH,MECHANISM CONFIRMED,LASER APPLICATIONS,NO,Optical physics,Physics basis,Nonlinear optics principle enabling laser filaments in atmosphere
Connection,RTX + HAARP Patent + FlightAware,Analysis - Pattern,HIGH,TECHNOLOGY CONSOLIDATION,UNKNOWN PURPOSE,QUESTION,RTX Corporation,Corporate integration,Why does one corporation control: weather patents + ionosphere tech + flight tracking?
Connection,Raytheon RTX Weather Tech Portfolio,Analysis - Pattern,HIGH,MULTIPLE TECHNOLOGIES,UNKNOWN INTEGRATION,QUESTION,RTX Holdings,Technology convergence,Owns: Hughes (SAI) + APTI (HAARP) + military contracts + flight tracking
Connection,China Lake → Operation Popeye → HAARP,Analysis - Historical,MEDIUM,DEVELOPMENT LINEAGE,HISTORICAL PROGRESSION,PARTIAL,Naval Weapons Station China Lake,Military development,"Popeye developed at China Lake 1960s, tested multiple locations, deployed Vietnam"
Gap,Operational Deployment Status,Analysis - Missing,N/A,PATENTS EXIST,UNKNOWN IF BUILT,CRITICAL GAP,Multiple entities,Major unknown,Patents exist but actual deployment status classified or unknown
Gap,Integrated System Testing,Analysis - Missing,N/A,INDIVIDUAL SYSTEMS DOCUMENTED,UNKNOWN IF COMBINED,CRITICAL GAP,Multiple technologies,System integration,Are HAARP + lasers + satellites + seeding used together operationally?
Gap,Long-term Environmental Effects,Analysis - Missing,N/A,MATERIALS DISPERSED,IMPACTS UNKNOWN,HEALTH CONCERN,Silver iodide / barium / aluminum,Environmental safety,Decades of silver iodide seeding - cumulative environmental effects unstudied
Gap,Classified Military Programs,Analysis - Missing,N/A,HISTORICAL PROGRAMS EXISTED,CURRENT STATUS UNKNOWN,CRITICAL GAP,DOD / Military branches,Black programs,What happened after Operation Popeye? Current programs classified?
Gap,Energy Signature Monitoring,Analysis - Missing,N/A,EVENTS OCCUR,NO PUBLIC MONITORING,DETECTION GAP,Hurricane events,Detection methods,No public electromagnetic spectrum monitoring during major weather events
Contradiction,Official Denial vs Patents,Analysis - Dissonance,HIGH,PATENTS CLAIM CAPABILITY,OFFICIALS DENY,CONTRADICTION,NOAA vs USPTO,Narrative conflict,"We can't control weather" vs extensive weather modification patents
Contradiction,No Proof vs Active Industry,Analysis - Dissonance,HIGH,NRC: NO PROOF,PROFITABLE BUSINESS,CONTRADICTION,NRC 2003 vs Weather Mod Inc,Business vs science,2003 NRC "no proof" yet commercial industry thrives and expands
Contradiction,Ionosphere vs Weather Claim,Analysis - Dissonance,MEDIUM,HAARP: IONOSPHERE ONLY,HAARP PATENT: WEATHER MOD,CONTRADICTION,UAF FAQ vs US4686605A,Technical conflict,Official: no troposphere interaction vs Patent: weather modification claims
